section id,recording id,fixation id,start timestamp [ns],end timestamp [ns],duration [ms],fixation x [px],fixation y [px],azimuth [deg],elevation [deg]
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,102,1763649044510768748,1763649045221516748,711,842.262,364.637,2.9640377935033206,14.573760590681998
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,103,1763649045256515748,1763649045937137748,681,797.315,344.985,-0.0031496037030648593,15.844982088632975
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,104,1763649046082262748,1763649046247389748,165,782.345,374.702,-0.9891843866544291,13.934025046285656
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,105,1763649046302524748,1763649046512635748,210,967.034,390.954,11.13680809228146,12.791894239140833
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,106,1763649046667760748,1763649046817884748,150,758.757,926.408,-2.6195166898397,-21.68313148351838
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,107,1763649046848009748,1763649047158259748,310,788.665,952.549,-0.5970595975404899,-23.37040680048835
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,108,1763649047328382748,1763649047513631748,185,852.354,259.936,3.7150349485990777,21.28179008053311
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,109,1763649047553631748,1763649048114143748,561,792.168,236.369,-0.3559294123438385,22.807686637963958
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,110,1763649048224253748,1763649048414378748,190,775.316,834.945,-1.4618952353057024,-15.803392077353685
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,111,1763649048454503748,1763649048924876748,470,704.221,850.094,-6.194572838689353,-16.74628326885057
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,112,1763649048990001748,1763649049195125748,205,790.615,511.858,-0.43613325242416257,5.085851299133199
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,113,1763649049270249748,1763649049515499748,245,707.423,846.232,-5.976790848364631,-16.500371234641765
95cbe6dd-702c-4f3d-809a-8486e0c09cc7,a3a383b4-b666-46b1-a326-9f46224917a9,114,1763649049650637748,1763649049805747748,155,881.102,289.383,5.613929408906546,19.376782765807302
